news_id;user_id
406;117
298;118
75;119
596;120
3;121
371;122
590;122
592;122
92;123
291;124
3;124
7;125
19;125
11;125
10;125
23;125
8;125
22;125
21;125
6;125
6;125
25;125
4;125
4;125
15;125
12;125
14;125
9;125
24;125
5;125
20;125
5;125
13;125
17;125
18;125
16;125
111;126
596;127
565;128
536;129
305;130
342;131
53;132
450;133
450;133
596;134
57;135
354;136
312;137
468;137
558;138
305;139
288;140
386;141
167;142
284;142
499;143
62;144
306;145
428;145
551;146
551;146
554;147
553;148
564;149
313;150
144;151
477;152
440;153
336;154
558;155
499;156
502;157
596;158
596;159
14;160
6;160
15;160
12;160
22;160
11;160
10;160
4;160
16;160
13;160
21;160
7;160
23;160
9;160
19;160
546;161
325;162
502;163
46;164
462;165
53;166
596;167
298;168
351;169
554;170
558;171
558;172
342;172
39;172
558;172
298;173
558;174
596;175
370;176
183;177
224;178
562;179
370;179
296;180
305;181
305;181
347;182
428;182
406;183
296;184
596;185
481;186
596;187
90;188
191;188
312;189
468;189
489;190
90;190
298;191
462;192
403;193
313;194
548;195
224;196
551;197
421;198
428;199
443;199
562;200
428;200
428;200
502;200
224;201
596;202
329;203
437;204
502;205
396;205
554;205
428;205
562;205
562;205
502;205
562;205
428;205
475;205
396;205
455;206
562;207
502;207
488;207
475;207
479;207
298;208
175;208
127;208
243;209
336;210
482;211
396;212
554;212
428;212
467;212
479;212
428;212
396;212
313;213
596;214
428;215
487;216
428;217
470;217
4;218
596;219
337;220
596;220
484;221
596;222
479;223
368;224
596;225
428;226
313;227
287;228
70;228
70;228
467;229
596;230
158;231
6;232
511;233
479;234
479;234
428;234
469;234
465;234
482;234
502;234
479;234
124;235
90;235
115;235
355;235
298;235
347;235
159;235
215;236
215;236
59;237
342;238
590;239
20;240
18;240
536;241
403;241
191;242
594;243
551;244
576;245
163;246
3;246
291;246
596;247
596;248
298;249
363;250
359;250
110;251
97;251
53;251
80;251
100;251
84;251
107;251
40;251
101;251
124;251
143;251
558;252
596;253
596;254
482;255
558;256
313;257
313;257
482;257
403;258
492;259
19;260
25;260
15;260
7;260
11;260
208;260
176;260
59;260
8;260
196;260
9;260
6;260
10;260
23;260
55;260
264;260
16;260
280;260
20;260
13;260
251;260
22;260
52;260
267;260
293;260
219;260
62;260
235;260
240;260
108;260
194;260
231;260
21;260
204;260
125;260
18;260
203;260
202;260
20;260
5;260
174;260
229;260
17;260
292;260
197;260
221;260
4;260
12;260
190;260
14;260
472;261
3;262
82;263
428;264
437;265
448;265
448;265
457;266
536;267
180;268
57;269
502;270
554;271
428;272
475;273
596;274
107;275
596;276
224;277
11;278
74;279
94;279
53;279
67;279
211;279
194;279
562;280
370;280
268;281
318;282
451;282
428;283
590;284
479;284
347;284
428;284
428;284
428;284
596;285
479;286
428;287
57;288
596;289
489;290
502;291
428;292
596;293
300;294
536;295
241;296
212;296
502;296
204;296
536;297
353;297
597;298
370;299
558;300
298;301
437;302
224;303
428;304
479;304
596;305
298;306
558;307
558;307
558;307
90;308
471;309
592;309
590;310
502;311
205;312
240;312
82;313
565;314
257;315
551;316
428;317
565;318
298;319
537;320
570;321
336;322
581;323
152;324
592;325
471;325
471;325
306;325
592;325
482;326
379;327
52;328
298;329
305;330
428;331
255;332
551;333
252;334
3;334
298;335
562;336
551;337
370;338
596;339
467;340
421;340
499;341
428;341
479;341
298;342
336;343
97;344
346;345
194;346
107;347
458;348
437;349
298;350
298;350
428;351
298;352
596;353
596;354
342;355
558;355
298;356
554;357
556;357
383;357
556;357
554;357
397;357
428;357
383;357
346;357
397;357
326;357
298;358
499;359
428;359
191;360
298;361
596;362
517;363
581;364
596;365
540;366
540;366
325;366
596;367
298;368
296;368
204;369
546;370
499;370
546;370
435;370
502;371
576;372
596;373
596;374
107;375
298;375
565;376
502;377
502;378
479;378
331;379
305;380
129;381
336;382
596;383
502;384
475;385
443;386
596;387
441;387
551;387
350;387
298;387
25;388
25;388
24;388
24;388
24;388
25;388
25;388
25;388
5;388
24;388
25;388
25;388
25;388
24;388
24;388
24;388
25;388
25;388
25;388
25;388
25;388
25;388
4;388
25;388
25;388
24;388
9;388
25;388
25;388
25;388
25;388
25;388
25;388
24;388
25;388
24;388
25;388
25;388
25;388
25;388
25;388
25;388
25;388
25;388
24;388
25;388
24;388
24;388
25;388
25;388
24;388
24;388
25;388
24;388
24;388
25;388
10;388
24;388
24;388
25;388
24;388
25;388
24;388
24;388
24;388
25;388
24;388
25;388
25;388
24;388
24;388
24;388
25;388
24;388
24;388
